"ordinal","publication","doc_id","family_id","title","publication_date","priority_date","inventors","secondary_inventors","applicants","secondary_applicants","application_number","priority_numbers","also_published_as","classification","abstract","biblio_link","description_link","claims_link","mosaics_link","original_document_link","description_length","claims_length","mosaic_pages","original_pages"
"8","US11857104 (B2)","US11857104B2","060813658","EXCHANGEABLE CARTRIDGE FOR BEVERAGE PORTION DISPENSER","2024-01-02","2017-12-22","CROZIER ETIENNE [CH]; ROMAND DAMIEN [FR]; MAGATTI MARCO [CH]","(Romand, Damien; Crozier, Etienne; Magatti, Marco; Romand, Damien; Crozier, Etienne; Magatti, Marco)","NESTLE SA [CH]","(SOCIETE DES PRODUITS NESTLE S.A.; SOCIETE DES PRODUITS NESTLE S.A.)","Numéro de demande US201816956302 20181219 Dossier global","Numéro(s) de priorité: EP20170210543 20171222 ; WO2018EP85717 20181219 ;","Également publié en tant que: AU2018390791 (A1) AU2018390791 (B2) BR112020009754 (A2) CA3086645 (A1) CN111491542 (A) plus AU2018390791 (A1) AU2018390791 (B2) BR112020009754 (A2) CA3086645 (A1) CN111491542 (A) CN111491542 (B) DK3501345 (T3) EP3501345 (A1) EP3501345 (B1) EP3727104 (A1) EP3727104 (B1) ES2873938 (T3) IL274180 (A) IL274180 (B1) IL274180 (B2) JP2021506423 (A) JP7305645 (B2) KR20200099128 (A) MX2020007195 (A) PH12020550477 (A1) PT3501345 (T) RU2020123277 (A) RU2020123277 (A3) SG11202003934V (A) TW201927224 (A) US2020323386 (A1) WO2019121834 (A1) moins","Classification: - internationale A47J31/40; A47J31/44; B65D85/804 - coopérative A47J31/3642 (EP, IL, KR); A47J31/407 (IL, US); A47J31/4403 (IL, KR); B65D85/804 (IL, US)","Exchangeable cartridge (3) for portion dispenser (1) arranged for storing and dispensing beverage items (8) for the preparation of beverages comprising: an elongated hollowed storage member (7) comprising an interior for accommodating a plurality of beverage items (8), comprising a closed end (9) and an open end (10) comprising an exit opening (11), a closure cap (14) adapted to connect in a removable manner to the elongated hollowed storage member (7) at the open end of the storage member and to be sealed through a removable complementary connection (15) of the storage member (7) and closure cap (14), wherein the closure cap (14) comprises a locking member (26), or respectively keying member, being arranged for complementarily fitting with a keying member (25), or respectively a locking member, of the portion dispenser (1) and for allowing the closure cap (14) to be removed from the elongated hollowed member (7) and to be re-connected to the elongated hollowed member (7).","https://worldwide.espacenet.com/patent/search/family/060813658/publication/US11857104B2?q=Etienne%20Crozier","https://worldwide.espacenet.com/publicationDetails/description?CC=US&NR=11857104B2&KC=B2&FT=D&ND=3&date=20240102&DB=&locale=fr_EP","https://worldwide.espacenet.com/publicationDetails/claims?CC=US&NR=11857104B2&KC=B2&FT=D&ND=3&date=20240102&DB=&locale=fr_EP","https://worldwide.espacenet.com/publicationDetails/mosaics?CC=US&NR=11857104B2&KC=B2&FT=D&ND=3&date=20240102&DB=&locale=fr_EP","https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=US&NR=11857104B2&KC=B2&FT=D&ND=3&date=20240102&DB=&locale=fr_EP","54895","7353","3","26"
"9","US11950725 (B2)","US11950725B2","060813659","PORTION DISPENSER FOR DISPENSING PORTIONED BEVERAGE ITEMS","2024-04-09","2017-12-22","CROZIER ETIENNE [CH]; ROMAND DAMIEN [FR]; MAGATTI MARCO [CH]","(Romand, Damien; Crozier, Etienne; Magatti, Marco; Romand, Damien; Crozier, Etienne; Magatti, Marco)","NESTLE SA [CH]","(SOCIETE DES PRODUITS NESTLE S.A.; SOCIETE DES PRODUITS NESTLE S.A.)","Numéro de demande US201816956280 20181219 Dossier global","Numéro(s) de priorité: EP20170210546 20171222 ; WO2018EP85715 20181219 ;","Également publié en tant que: AU2018390790 (A1) AU2018390790 (B2) BR112020010225 (A2) CA3086622 (A1) CN111511257 (A) plus AU2018390790 (A1) AU2018390790 (B2) BR112020010225 (A2) CA3086622 (A1) CN111511257 (A) CN111511257 (B) EP3501346 (A1) EP3501346 (B1) EP3727103 (A1) EP3727103 (B1) ES2824508 (T3) JP2021506416 (A) JP7305644 (B2) KR20200097692 (A) PT3501346 (T) RU2020119060 (A) RU2020119060 (A3) TW201929751 (A) US2021076866 (A1) WO2019121832 (A1) moins","Classification: - internationale A47J31/40; B65D83/04 - coopérative A47J31/3642 (EP, KR); A47J31/407 (US); B65D83/0409 (US); G07F11/04 (EP, KR)","[0001] The invention relates to a portion dispenser (2) for dispensing beverage items (8) from an exchangeable cartridge (3) comprising: a frame (4) with a receiving portion (5) for receiving the exchangeable cartridge, a discharge opening (6) next to the receiving portion (5) and sized for allowing a beverage item to be individually discharged by gravity from the 5 exchangeable cartridge, a moving means assembly (16) comprising a moving means (19) and a moving means housing (20) in which the moving means are arranged for moving therein, wherein the moving means (19) are arranged for providing a discharge chamber (23) for discharge of at least one beverage item therein and for transporting to a dispensing area (17) and wherein the moving means assembly (16) is arranged for sealingly 10 connecting with the exchangeable cartridge (3) and comprises means for opening the exchangeable cartridge to allow the discharge of the beverage item in the discharge chamber and for re-closing the exchangeable cartridge.","https://worldwide.espacenet.com/patent/search/family/060813659/publication/US11950725B2?q=Etienne%20Crozier","https://worldwide.espacenet.com/publicationDetails/description?CC=US&NR=11950725B2&KC=B2&FT=D&ND=3&date=20240409&DB=&locale=fr_EP","https://worldwide.espacenet.com/publicationDetails/claims?CC=US&NR=11950725B2&KC=B2&FT=D&ND=3&date=20240409&DB=&locale=fr_EP","https://worldwide.espacenet.com/publicationDetails/mosaics?CC=US&NR=11950725B2&KC=B2&FT=D&ND=3&date=20240409&DB=&locale=fr_EP","https://worldwide.espacenet.com/publicationDetails/originalDocument?CC=US&NR=11950725B2&KC=B2&FT=D&ND=3&date=20240409&DB=&locale=fr_EP","54291","6083","2","23"
